RU-AMU,Амурская область
RU-ARK,Архангельская область
RU-AST,Астраханская область
RU-BEL,Белгородская область
RU-BRY,Брянская область
RU-CHE,Челябинская область
RU-IRK,Иркутская область
RU-IVA,Ивановская область
RU-KEM,Кемеровская область
RU-KGD,Калининградская область
RU-KGN,Курганская область
RU-KIR,Кировская область
RU-KLU,Калужская область
RU-KOS,Костромская область
RU-KRS,Курская область
RU-LEN,Санкт-Петербург и Ленинградская область
RU-LIP,Липецкая область
RU-MAG,Магаданская область
RU-MOS,Москва и Московская область
RU-MUR,Мурманская область
RU-NGR,Новгородская область
RU-NIZ,Нижегородская область
RU-NVS,Новосибирская область
RU-OMS,Омская область
RU-ORE,Оренбургская область
RU-ORL,Орловская область
RU-PNZ,Пензенская область
RU-PSK,Псковская область
RU-ROS,Ростовская область
RU-RYA,Рязанская область
RU-SAK,Сахалинская область
RU-SAM,Самарская область
RU-SAR,Саратовская область
RU-SMO,Смоленская область
RU-SVE,Свердловская область
RU-TAM,Тамбовская область
RU-TOM,Томская область
RU-TUL,Тульская область
RU-TVE,Тверская область
RU-TYU,Тюменская область
RU-ULY,Ульяновская область
RU-VGG,Волгоградская область
RU-VLA,Владимирская область
RU-VLG,Вологодская область
RU-VOR,Воронежская область
RU-YAR,Ярославская область
RU-ALT,Алтайский край
RU-KAM,Камчатский край
RU-KDA,Краснодарский край
RU-KHA,Хабаровский край
RU-KYA,Красноярский край
RU-PER,Пермский край
RU-PRI,Приморский край
RU-STA,Ставропольский край
RU-ZAB,Забайкальский край
RU-CHU,Чукотский автономный округ
RU-KHM,Ханты-Мансийский автономный округ
RU-NEN,Ненецкий автономный округ
RU-YAN,Ямало-Ненецкий автономный округ
RU-YEV,Еврейская автономная область
RU-AD,Адыгея
RU-AL,Республика Алтай
RU-BA,Башкортостан
RU-BU,Бурятия
RU-CE,Чечня
RU-CU,Чувашия
RU-DA,Дагестан
RU-IN,Ингушетия
RU-KB,Кабардино-Балкария
RU-KC,Карачаево-Черкесия
RU-KK,Хакасия
RU-KL,Калмыкия
RU-KO,Республика Коми
RU-KR,Республика Карелия
RU-ME,Марий Эл
RU-MO,Мордовия
RU-SA,Якутия
RU-SE,Северная Осетия
RU-TA,Татарстан
RU-TY,Тыва
RU-UD,Удмуртия
UA-40,Севастополь
UA-43,Крым
